,Course Title,freshman fall,freshman spring,sophomore fall,sophomore spring,junior fall,junior spring,senior fall,senior spring
ENGR2210,Principles of Engineering,4.905870351899627e-93,4.905866273876828e-93,4.905866273875004e-93,4.905866273875004e-93,4.905866273875004e-93,4.905866273875004e-93,4.905866273875004e-93,4.905866273875004e-93
ENGR2250,ENGR2250: User-Oriented Collaborative Design,1.0000001985057518,1.0000001985092455,1.0000001985092455,1.0000001985092455,1.0000001985092455,1.0000001985092455,1.0000001985092455,1.0000001985092455
ENGR2299,ENGR2299: Specials Topics in Design: Introduction to Architecture and Urbanism: Public Space as Public Sphere,0.6129744236451242,0.04445239049683092,0.6030968114016738,0.054158387186365786,0.5935594485840833,0.06353004600966161,0.5843506147816961,0.07257888374468324
ENGR2299A,"ENGR2299A: Special Topics in Engineering Design:
Building Design for Climate Change Adaptation",0.4975521171587308,0.3287372312195184,0.3836093516847885,0.3657735453955297,0.3715709518615201,0.36968654466473705,0.3702990582954647,0.3700999649421451
ENGR2320,Mechanics of Solids and Structures,0.31840479805205146,0.7500086296960917,0.39065912840298844,0.6898503185917308,0.4407464017518879,0.648148101467063,0.4754672958400696,0.619239794681388
ENGR2320L,ENGR2320: Mechanics of Solids & Structures,0.05150781477793367,0.048734373029056414,0.05121324198699364,0.04899765865515972,0.050977920453421595,0.04920798621835518,0.050789932201057944,0.049376007862736125
ENGR2330,Introduction to Mechanical Prototyping,0.007094360959594592,0.893011481836798,0.007156923668062309,0.8929489235464552,0.007219477540592267,0.8928863740914261,0.007282022578432357,0.892823833470463
ENGR2330L,ENGR2330: Introduction to Mechanical Prototyping,0.14507539694146177,0.16063684793767874,0.16953536954756973,0.17462382093047396,0.1775335556719618,0.17919743248412248,0.1801488889885839,0.18069296140624466
ENGR2340,ENGR2340: Dynamics,0.05885933451816516,0.9441944529533252,0.13687609117848587,0.8730526233043194,0.20174882035183594,0.8138965542073863,0.2556919880833811,0.764706920931627
ENGR2350,ENGR2350: Thermodynamics,-0.07708874295831027,-0.0011620273826326022,-0.07498523671509107,-0.0032072571880826517,-0.07299666883202187,-0.00514073293493357,-0.07111675892525474,-0.006968561012589677
ENGR2355,ENGR2355: Introduction to Thermodynamics,0.0687087931709471,0.06125865039300834,0.06634529340922718,0.06287234826634142,0.06524352861594253,0.06362458676140388,0.06472993192370582,0.0639752489038067
ENGR2360,ENGR2360: Introduction to Thermal-Fluid Systems,0.55,0.3287372312195184,0.5836093516847885,0.3657735453955297,0.5715709518615201,0.36968654466473705,0.5702990582954647,0.3700999649421451
ENGR2365,ENGR2365: Introduction to Transport Phenomena,0.0687087931709471,0.06125865039300834,0.06634529340922718,0.06287234826634142,0.06524352861594253,0.06362458676140388,0.06472993192370582,0.0639752489038067
ENGR2399,"ENGR2399: Special Topics in Mechanical Engineering:
Applied transport: measurement of flow and sedimentation",0.0687087931709471,0.06125865039300834,0.06634529340922718,0.06287234826634142,0.06524352861594253,0.06362458676140388,0.06472993192370582,0.0639752489038067
ENGR2410,Signals and Systems,0.05579421396492956,0.9477165743426685,0.12038256101772171,0.8878053771857991,0.17595530298362883,0.8362569222029531,0.22377088877474693,0.7919038907627556
ENGR2420,Intro Microelectronic Circuits with Lab,0.11831098889972846,0.8820968143893666,0.11870850991478699,0.8816995002686391,0.11910561724886393,0.8813025996135881,0.11950231133245726,0.88090611199394
ENGR2510,Software Design,0.08023935624062728,0.9225453876530489,0.15449446420332635,0.854836381526171,0.216234452689944,0.7985392004512515,0.2675686475071206,0.7517304702943906
ENGR2599,Special Topics in Computing: Computer Networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGR2620,Biomechanics,2.794212085952339e-47,2.7942070877855903e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47
ENGR2999/SCI2399,Special Topics in Engineering: Environmental Analysis and Engineering       OR Special Topics in Science: Environmental Analysis and Engineering,0.0496066276661963,0.05036641737949399,0.049648953715617054,0.0503264492120348,0.04968669535302256,0.05029081007007256,0.04972034912448346,0.05025903106891865
ENGR2999ORSCI2399,Special Topics in Environmental Engineering and Science:  Environmental Analysis & Engineering,0.04950561043567073,0.05044578875699468,0.049566082477272594,0.050389206262442095,0.04961902559949877,0.050339668428996974,0.049665377171511337,0.0502962981788544
ENGR3110,Elecanisms,0.045747852307963126,0.07190783527391831,0.04906031985316904,0.06901480382896986,0.051587025647939364,0.06680803826322618,0.053514362923308516,0.06512474710140513
ENGR3180,ENGR3180: Renewable Energy,0.05150781477793367,0.048734373029056414,0.05121324198699364,0.04899765865515972,0.050977920453421595,0.04920798621835518,0.050789932201057944,0.049376007862736125
ENGR3199,ENGR3199: Special Topics in Engineering: Community- Centered Creation of a Mobile App for Mental Health Equity,0.52876719391148,0.3641461578073783,0.4253529957899678,0.40259601949771606,0.41105716513169605,0.4079112733172464,0.40908092997325246,0.40864604639376784
ENGR3199A,Special Topics in Engineering: Elecanisms,-9.306640797682982e-91,-9.306660904774285e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91
ENGR3210,ENGR3210: Sustainable Design,0.022392943294922793,0.5776009184758163,0.02241518223897987,0.5775786804225437,0.022437419401503678,0.5775564441507329,0.022459654782637006,0.5775342096602414
ENGR3220,Human Factors Interface Design,0.8126774445830195,0.18300128018676676,0.8089937261587784,0.1866634481979601,0.8053529824868539,0.19028289286684064,0.801754712218032,0.19386011260963965
ENGR3230,Investigating Normal: Adaptive and Assistive Technologies,-6.247724695735538e-53,-5.622950032444422e-53,-5.622949892745621e-53,-5.622949892745589e-53,-5.622949892745589e-53,-5.622949892745589e-53,-5.622949892745589e-53,-5.622949892745589e-53
ENGR3232,ENGR3232: Biomedical Device Design,0.12991639828878035,0.07747951108206719,0.12192719247237609,0.08425149343276017,0.11618697923817287,0.08911713635203772,0.11206265840687507,0.09261308182146044
